,country,date,avg_max_temp,avg_min_temp,avg_temp,alpha-3,region
2118,Finland,2023-03-05,-0.8,-6.1,-3.7,FIN,Europe
2119,Croatia,2023-06-26,29.0,15.4,22.4,HRV,Europe
2120,Albania,2022-12-04,11.8,9.5,10.6,ALB,Europe
2121,Norway,2023-08-20,16.3,14.1,15.1,NOR,Europe
2122,Slovakia,2023-06-12,21.7,11.6,16.7,SVK,Europe
2123,North Macedonia,2022-11-28,4.7,0.9,3.4,MKD,Europe
2124,Belgium,2022-10-05,22.5,13.2,16.8,BEL,Europe
2125,Belarus,2023-08-08,18.9,12.2,15.4,BLR,Europe
2126,Italy,2023-04-23,21.5,11.6,16.1,ITA,Europe
2127,Lithuania,2023-02-22,-1.7,-8.0,-3.5,LTU,Europe
2128,Denmark,2023-04-26,10.2,4.5,7.0,DNK,Europe
2129,Andorra,2023-09-13,17.0,6.4,11.5,AND,Europe
2130,Bosnia and Herzegovina,2023-05-16,17.6,9.4,12.8,BIH,Europe
2131,Albania,2023-06-22,32.5,19.1,26.0,ALB,Europe
2132,Albania,2022-10-15,21.7,11.5,15.7,ALB,Europe
2133,Spain,2023-07-16,34.3,19.3,27.1,ESP,Europe
2134,Spain,2023-07-19,39.4,25.1,32.5,ESP,Europe
2135,Finland,2022-12-21,3.7,2.4,3.1,FIN,Europe
2136,Lithuania,2022-10-13,11.6,4.9,8.0,LTU,Europe
2137,Austria,2023-04-23,19.7,8.0,14.3,AUT,Europe
2138,Slovakia,2023-03-30,19.3,5.8,11.0,SVK,Europe
2139,Bulgaria,2023-02-20,10.6,2.6,6.1,BGR,Europe
2140,Spain,2023-06-01,21.5,14.1,17.5,ESP,Europe
2141,Slovenia,2022-09-22,14.9,5.4,9.7,SVN,Europe
2142,Norway,2022-10-20,-6.3,-10.3,-8.2,NOR,Europe
